title,main_genre,belongs_to_collection,budget,revenue,production_companies,vote_average,popularity,runtime,cast_size,crew_size,cast_tr_rev,director_tr_rev,production_company_tr_roi,English,title_length,rel_month,rel_year
Three Fugitives,Comedy,False,15.0,40.59,2.0,6.0,3.96986,96.0,7,4,192.97585499999997,0.0,9.968250392156863,True,14,January,1989
Cousins,Comedy,False,13.0,22.03,1.0,5.1,7.584638000000001,109.0,60,7,115.562285,70.026439,5.778006481277131,True,7,February,1989
Major League,Comedy,True,11.0,49.797148,2.0,6.7,5.304376,107.0,19,12,376.974537,0.0,5.73149284361342,True,11,February,1989
The 'Burbs,Comedy,False,18.0,36.602,1.0,6.6,7.889227,101.0,24,17,2340.29924,206.835849,0.999899681528663,True,9,February,1989
Bill & Ted's Excellent Adventure,Adventure,True,10.0,40.485039,1.0,6.7,15.109260999999998,90.0,22,12,0.0,13.167231999999998,4.030650398585664,True,28,February,1989
Farewell to the King,War,False,16.0,2.420917,6.0,5.9,1.629224,117.0,15,4,76.804118,119.490582,4.031206409218312,True,17,March,1989
Leviathan,Adventure,False,25.0,15.704614,3.0,6.0,10.653446,98.0,13,30,736.6877850000001,349.44265600000006,1.0,True,9,March,1989
Fletch Lives,Comedy,True,8.045760000000001,35.15096,2.0,5.8,10.357224,95.0,15,3,317.313571,174.75411899999997,5.818491756184993,True,11,March,1989
Dead Calm,Crime,False,10.0,7.825,1.0,6.6,13.464246,96.0,7,5,40.635411,0.0,15.273007359207831,True,8,April,1989
Kickboxer,Action,True,1.5,14.697005,1.0,6.3,6.939994,97.0,15,10,26.634715000000003,0.0,1.0,True,9,April,1989
Pet Sematary,Drama,True,11.5,57.469467,1.0,6.4,8.365761000000001,103.0,14,9,0.0,0.0,5.719994318497099,True,11,April,1989
K-9,Action,True,17.0,78.247647,2.0,5.5,5.772293,101.0,31,48,73.83316099999999,34.37758500000001,5.837344204353525,True,3,April,1989
"See No Evil, Hear No Evil",Crime,False,18.0,46.908987,1.0,6.4,17.367335999999998,103.0,33,18,660.115874,225.679064,2.535440728306921,True,20,May,1989
Road House,Action,True,15.0,30.050028,3.0,6.3,2.943427,114.0,28,10,294.730771,0.0,6.204402823776128,True,9,May,1989
Miracle Mile,Romance,False,3.0,1.145404,2.0,7.2,10.018693,87.0,18,15,23.221366,0.014000000000000012,0.0,True,11,May,1989
Indiana Jones and the Last Crusade,Adventure,True,48.0,474.171806,2.0,7.6,14.788987,127.0,51,46,3922.212319,2532.871298,12.975052582625137,True,29,May,1989
No Holds Barred,Action,False,8.0,16.093651,2.0,5.6,0.863547,93.0,9,1,46.908987,0.0,5.349228316355728,True,13,June,1989
Dead Poets Society,Drama,False,16.4,235.860116,2.0,8.1,19.905716,129.0,15,11,200.916107,97.32542900000004,6.777416913580246,True,16,June,1989
Star Trek V: The Final Frontier,Science Fiction,True,30.0,70.2,1.0,5.6,12.308007,107.0,14,10,1408.446533,0.0,5.712853259869386,True,26,June,1989
Ghostbusters II,Comedy,True,37.0,215.394738,1.0,6.3,16.414239000000002,108.0,22,56,1794.1237410000003,597.126855,4.622504412295971,True,14,June,1989
"Honey, I Shrunk the Kids",Adventure,True,32.0,222.724172,1.0,6.1,12.358786,93.0,11,14,100.34305,0.0,1.0,True,20,June,1989
Batman,Fantasy,True,35.0,411.348924,3.0,7.0,19.10673,126.0,19,12,762.468348,114.26732800000002,2.0,True,6,June,1989
Do the Right Thing,Drama,False,6.5,37.295445,2.0,7.6,10.465403,120.0,42,17,10.631332999999998,0.0,5.81479625688595,True,15,June,1989
